sample_id,wav_path,dataset,original_split,speaker_id,emotion_raw,emotion,text,sampling_rate,duration_sec,processed_wav_path,processed_sampling_rate,processed_duration_sec,duration_bucket,is_valid_length,split
podcast_train_00080102_37472fe6295f,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00080102_37472fe6295f.wav,podcast,train,unknown,angry,angry,there's not going to be that much organic growth and help because the platforms build their technology against it. they're different now-,16000,6.272,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00080102_37472fe6295f.wav,16000,6.272,long,True,train
podcast_train_00092259_e7a41d0cfe71,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00092259_e7a41d0cfe71.wav,podcast,train,unknown,angry,angry,... made me laugh out loud. i was chuckling down a-,16000,3.2,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00092259_e7a41d0cfe71.wav,16000,3.2,medium,True,train
podcast_train_00097230_8cf1cd05715e,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00097230_8cf1cd05715e.wav,podcast,train,unknown,sad,sad,"messages or whatever.right.and so that part, i definitely-",16000,3.968,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00097230_8cf1cd05715e.wav,16000,3.968,medium,True,train
podcast_train_00019737_ccce8a3d6a2c,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00019737_ccce8a3d6a2c.wav,podcast,train,unknown,excited,happy,"coleman vs. morehouse. if we play it today? if we play it today, maybe you win because i figured out a better.",16000,6.4100625,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00019737_ccce8a3d6a2c.wav,16000,6.4100625,long,True,train
podcast_train_00041803_b80dd6ebe777,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00041803_b80dd6ebe777.wav,podcast,train,unknown,happy,happy,an al mocked all the base goal explosions that you can have drop.hmm.but just like here's screen one.,16000,8.6900625,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00041803_b80dd6ebe777.wav,16000,8.6900625,long,True,train
podcast_train_00100605_82fb13dc6fbe,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00100605_82fb13dc6fbe.wav,podcast,train,unknown,angry,angry,"...otherwise it doesn't matter. they're going to have, they're going to, he's not leaving...",16000,5.76,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00100605_82fb13dc6fbe.wav,16000,5.76,long,True,train
podcast_train_00020150_0ef4b4a60cd0,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00020150_0ef4b4a60cd0.wav,podcast,train,unknown,neutral,neutral,four. four or five? were they a male? and then that one female?,16000,4.55,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00020150_0ef4b4a60cd0.wav,16000,4.55,medium,True,train
podcast_train_00095780_a7429bf9b508,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00095780_a7429bf9b508.wav,podcast,train,unknown,sad,sad,...the fact that companies can not comprehensively evaluate all of the material on their services. website operators can...,16000,7.168,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00095780_a7429bf9b508.wav,16000,7.168,long,True,train
podcast_train_00039467_8e3a57fbd329,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00039467_8e3a57fbd329.wav,podcast,train,unknown,happy,happy,yeah. i don't know. the wii sports resort.,16000,3.4,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00039467_8e3a57fbd329.wav,16000,3.4,medium,True,train
podcast_train_00096196_6c95f36e297c,/home/mmr/emo_paper/ser_project/data/raw/podcast/train/podcast_train_00096196_6c95f36e297c.wav,podcast,train,unknown,sad,sad,if you think privacy and...,16000,5.248,/home/mmr/emo_paper/ser_project/data/processed/podcast/train/podcast_train_00096196_6c95f36e297c.wav,16000,5.248,long,True,train
