config_file,experiment_name,model_name,encoder_backbone_name,wav2vec2_variant,frozen_vs_finetuned,chunk_settings,chunk_count_or_chunk_length,pooling_type,discriminator_type,hidden_dimensions,optimizer,learning_rate,batch_size,num_epochs,seed,lambda_or_domain_loss_weights,utterance_domain_loss_weight,chunk_domain_loss_weight,grl_alpha,chunk_grl_alpha,early_stopping_setting,validation_setting,max_duration_sec,dropout,num_classes
iemocap_in_corpus_attnpool.yaml,iemocap_in_corpus_attnpool,wav2vec2_attention_pool,wav2vec2,facebook/wav2vec2-base,frozen,not_applicable,not_applicable,attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),explicit dev_manifest,12.0,0.2,4
iemocap_in_corpus_chunk.yaml,iemocap_in_corpus_chunk,chunk_attention,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),explicit dev_manifest,12.0,0.2,4
iemocap_in_corpus_meanpool.yaml,iemocap_in_corpus_meanpool,wav2vec2_mean_pool,wav2vec2,facebook/wav2vec2-base,frozen,not_applicable,not_applicable,mean,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),explicit dev_manifest,12.0,0.2,4
iemocap_plus_cremad_to_podcast_attnpool.yaml,iemocap_plus_cremad_to_podcast_attnpool,wav2vec2_attention_pool,wav2vec2,facebook/wav2vec2-base,frozen,not_applicable,not_applicable,attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_plus_cremad_to_podcast_chunk.yaml,iemocap_plus_cremad_to_podcast_chunk,chunk_attention,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_plus_cremad_to_podcast_chunk_domain_both.yaml,iemocap_plus_cremad_to_podcast_chunk_domain_both,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,1.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_plus_cremad_to_podcast_chunk_domain_utt.yaml,iemocap_plus_cremad_to_podcast_chunk_domain_utt,chunk_attention_domain_utt,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_plus_cremad_to_podcast_meanpool.yaml,iemocap_plus_cremad_to_podcast_meanpool,wav2vec2_mean_pool,wav2vec2,facebook/wav2vec2-base,frozen,not_applicable,not_applicable,mean,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_attnpool.yaml,iemocap_to_podcast_attnpool,wav2vec2_attention_pool,wav2vec2,facebook/wav2vec2-base,frozen,not_applicable,not_applicable,attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk.yaml,iemocap_to_podcast_chunk,chunk_attention,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,none,UNKNOWN,AdamW,0.0002,8,8,42,UNKNOWN,0.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both.yaml,iemocap_to_podcast_chunk_domain_both,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,1.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both_both_midchunk.yaml,iemocap_to_podcast_chunk_domain_both_both_midchunk,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,0.3,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both_both_weakchunk.yaml,iemocap_to_podcast_chunk_domain_both_both_weakchunk,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,0.1,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both_chunk_only_w01.yaml,iemocap_to_podcast_chunk_domain_both_chunk_only_w01,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,0.0,0.0,0.1,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both_chunk_only_w03.yaml,iemocap_to_podcast_chunk_domain_both_chunk_only_w03,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,0.0,0.0,0.3,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_both_chunk_only_w05.yaml,iemocap_to_podcast_chunk_domain_both_chunk_only_w05,chunk_attention_domain_both,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_and_chunk_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,0.0,0.0,0.5,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_utt.yaml,iemocap_to_podcast_chunk_domain_utt,chunk_attention_domain_utt,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,42,1.0,1.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
iemocap_to_podcast_chunk_domain_utt_seed13.yaml,iemocap_to_podcast_chunk_domain_utt_seed13,chunk_attention_domain_utt,wav2vec2,facebook/wav2vec2-base,frozen,"size=1.0,overlap=0.5",1.0,chunk_attention,utterance_domain_classifier,UNKNOWN,AdamW,0.0002,8,8,13,1.0,1.0,0.0,1.0,1.0,UNKNOWN (fixed epochs; best checkpoint by dev UAR),train CSV split column fallback,12.0,0.2,4
