sample_id,wav_path,dataset,original_split,speaker_id,emotion_raw,emotion,text,sampling_rate,duration_sec,processed_wav_path,processed_sampling_rate,processed_duration_sec,duration_bucket,is_valid_length,split
iemocap_train_00000000_31ac740f0c00,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000000_31ac740f0c00.wav,iemocap,train,Ses01F,neutral,neutral, Excuse me.,16000,1.9455625,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000000_31ac740f0c00.wav,16000,1.9455625,short,True,train
iemocap_train_00000014_cb591c78d00d,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000014_cb591c78d00d.wav,iemocap,train,Ses01F,neutral,neutral," Clearly.  You know, do you have like a supervisor or something?",16000,5.07,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000014_cb591c78d00d.wav,16000,5.07,long,True,train
iemocap_train_00000032_b6e8674c16e2,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000032_b6e8674c16e2.wav,iemocap,train,Ses01F,sad,sad, I don't know.  I put in that. request too. They didn't...,16000,5.7235,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000032_b6e8674c16e2.wav,16000,5.7235,long,True,train
iemocap_train_00000034_1011fabc570e,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000034_1011fabc570e.wav,iemocap,train,Ses01F,sad,sad," There's people that have given more though, you know?",16000,5.7699375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000034_1011fabc570e.wav,16000,5.7699375,long,True,train
iemocap_train_00000037_ee7d753a9981,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000037_ee7d753a9981.wav,iemocap,train,Ses01F,sad,sad," I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",16000,6.18,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000037_ee7d753a9981.wav,16000,6.18,long,True,train
iemocap_train_00000045_c6a85bf87590,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000045_c6a85bf87590.wav,iemocap,train,Ses01F,sad,sad, Last month--  Yeah.,16000,3.587875,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000045_c6a85bf87590.wav,16000,3.587875,medium,True,train
iemocap_train_00000046_ebe3744b0cfd,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000046_ebe3744b0cfd.wav,iemocap,train,Ses01F,neutral,neutral, I have to find sitters.,16000,2.1899375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000046_ebe3744b0cfd.wav,16000,2.1899375,medium,True,train
iemocap_train_00000049_9de709dda92c,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000049_9de709dda92c.wav,iemocap,train,Ses01F,sad,sad, I'll send you lots of letters.,16000,3.059375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000049_9de709dda92c.wav,16000,3.059375,medium,True,train
iemocap_train_00000050_3677719a62c9,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000050_3677719a62c9.wav,iemocap,train,Ses01F,sad,sad, And I want lots and lots and lots of pictures.,16000,4.5299375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000050_3677719a62c9.wav,16000,4.5299375,medium,True,train
iemocap_train_00000051_07bb7141b268,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000051_07bb7141b268.wav,iemocap,train,Ses01F,sad,sad, It's not fair.,16000,3.026375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000051_07bb7141b268.wav,16000,3.026375,medium,True,train
iemocap_train_00000052_4507c0d11887,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000052_4507c0d11887.wav,iemocap,train,Ses01F,sad,sad," I don't understand.  You've already done so much, I don't know why do you have to go back.",16000,5.7958125,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000052_4507c0d11887.wav,16000,5.7958125,long,True,train
iemocap_train_00000055_16e274bee5a8,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000055_16e274bee5a8.wav,iemocap,train,Ses01F,sad,sad, Then why is that fair?  Why--,16000,3.305,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000055_16e274bee5a8.wav,16000,3.305,medium,True,train
iemocap_train_00000066_165658359433,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000066_165658359433.wav,iemocap,train,Ses01F,neutral,neutral, I know.,16000,1.25,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000066_165658359433.wav,16000,1.25,short,True,train
iemocap_train_00000068_70d6c9158550,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000068_70d6c9158550.wav,iemocap,train,Ses01F,happy,happy, Well Vegas was awesome.,16000,2.86,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000068_70d6c9158550.wav,16000,2.86,medium,True,train
iemocap_train_00000069_d38736b90717,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000069_d38736b90717.wav,iemocap,train,Ses01F,happy,happy," And, um, I got married.",16000,3.4399375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000069_d38736b90717.wav,16000,3.4399375,medium,True,train
iemocap_train_00000075_ad0285812963,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000075_ad0285812963.wav,iemocap,train,Ses01F,excited,happy, Hey.  Let's get married and I said okay.,16000,4.4650625,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000075_ad0285812963.wav,16000,4.4650625,medium,True,train
iemocap_train_00000076_cb9f1548ac3d,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000076_cb9f1548ac3d.wav,iemocap,train,Ses01F,happy,happy," Yeah.  Well.  You know, because he's leaving the next day.",16000,2.67,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000076_cb9f1548ac3d.wav,16000,2.67,medium,True,train
iemocap_train_00000080_2be5c200e998,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000080_2be5c200e998.wav,iemocap,train,Ses01F,happy,happy, Oh.  Totally.,16000,2.2849375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000080_2be5c200e998.wav,16000,2.2849375,medium,True,train
iemocap_train_00000082_32e8d4663b50,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000082_32e8d4663b50.wav,iemocap,train,Ses01F,excited,happy, I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,16000,5.74,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000082_32e8d4663b50.wav,16000,5.74,long,True,train
iemocap_train_00000085_4974df1dec89,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000085_4974df1dec89.wav,iemocap,train,Ses01F,neutral,neutral," Uh, I think seven hundred and fifty dollars.",16000,2.9825,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000085_4974df1dec89.wav,16000,2.9825,medium,True,train
iemocap_train_00000087_853866dfd789,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000087_853866dfd789.wav,iemocap,train,Ses01F,neutral,neutral, Yeah.,16000,1.4199375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000087_853866dfd789.wav,16000,1.4199375,short,True,train
iemocap_train_00000092_3f0d29e22f6d,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000092_3f0d29e22f6d.wav,iemocap,train,Ses01F,happy,happy, Well so now we're married. We have cat children.,16000,4.4025,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000092_3f0d29e22f6d.wav,16000,4.4025,medium,True,train
iemocap_train_00000095_11dd4319d596,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000095_11dd4319d596.wav,iemocap,train,Ses01F,neutral,neutral, So what's up?  What's new?,16000,2.2199375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000095_11dd4319d596.wav,16000,2.2199375,medium,True,train
iemocap_train_00000099_bffeb13c338b,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000099_bffeb13c338b.wav,iemocap,train,Ses01F,excited,happy, Did you propose to you?,16000,2.5768125,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000099_bffeb13c338b.wav,16000,2.5768125,medium,True,train
iemocap_train_00000102_8906ebca232b,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000102_8906ebca232b.wav,iemocap,train,Ses01F,happy,happy, [LAUGHTER] That's really romantic.,16000,2.7524375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000102_8906ebca232b.wav,16000,2.7524375,medium,True,train
iemocap_train_00000106_850a4434a501,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000106_850a4434a501.wav,iemocap,train,Ses01F,neutral,neutral, Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,16000,3.93,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000106_850a4434a501.wav,16000,3.93,medium,True,train
iemocap_train_00000116_e0ad25b1aa61,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000116_e0ad25b1aa61.wav,iemocap,train,Ses01F,neutral,neutral," like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",16000,2.68,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000116_e0ad25b1aa61.wav,16000,2.68,medium,True,train
iemocap_train_00000121_561cbc691baf,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000121_561cbc691baf.wav,iemocap,train,Ses01F,neutral,neutral, I don't know.  Isn't that-- that's all like escort services and things like that.,16000,4.405125,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000121_561cbc691baf.wav,16000,4.405125,medium,True,train
iemocap_train_00000129_b2ac9b3aacae,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000129_b2ac9b3aacae.wav,iemocap,train,Ses01F,neutral,neutral, Yeah.,16000,1.3836875,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000129_b2ac9b3aacae.wav,16000,1.3836875,short,True,train
iemocap_train_00000149_14675f41d2a2,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000149_14675f41d2a2.wav,iemocap,train,Ses01F,angry,angry, Who do you think you are?,16000,3.1599375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000149_14675f41d2a2.wav,16000,3.1599375,medium,True,train
iemocap_train_00000155_f2f0d0c6eb21,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000155_f2f0d0c6eb21.wav,iemocap,train,Ses01F,neutral,neutral, Yeah.,16000,1.67,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000155_f2f0d0c6eb21.wav,16000,1.67,short,True,train
iemocap_train_00000156_dd67a7d29c19,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000156_dd67a7d29c19.wav,iemocap,train,Ses01F,neutral,neutral, No.  There's regular jobs on there.,16000,3.2599375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000156_dd67a7d29c19.wav,16000,3.2599375,medium,True,train
iemocap_train_00000167_ef4c33ee7cbf,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000167_ef4c33ee7cbf.wav,iemocap,train,Ses01F,neutral,neutral, It's kind of helpful when getting a job.,16000,3.4026875,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000167_ef4c33ee7cbf.wav,16000,3.4026875,medium,True,train
iemocap_train_00000171_40da8f04ffa3,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000171_40da8f04ffa3.wav,iemocap,train,Ses01F,neutral,neutral," No.  But it has an outline, you know.",16000,2.81,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000171_40da8f04ffa3.wav,16000,2.81,medium,True,train
