sample_id,wav_path,dataset,original_split,speaker_id,emotion_raw,emotion,text,sampling_rate,duration_sec,processed_wav_path,processed_sampling_rate,processed_duration_sec,duration_bucket,is_valid_length,split
crema_d_train_00000163_65dedd7d89c7,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000163_65dedd7d89c7.wav,crema_d,train,1003,anger,angry,Don't forget a jacket.,16000,3.1364375,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000163_65dedd7d89c7.wav,16000,3.1364375,medium,True,train
crema_d_train_00000166_4ac3b94fc40a,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000166_4ac3b94fc40a.wav,crema_d,train,1003,happy,happy,Don't forget a jacket.,16000,3.2699375,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000166_4ac3b94fc40a.wav,16000,3.2699375,medium,True,train
crema_d_train_00000167_191cf160fb3e,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000167_191cf160fb3e.wav,crema_d,train,1003,neutral,neutral,Don't forget a jacket.,16000,3.2365625,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000167_191cf160fb3e.wav,16000,3.2365625,medium,True,train
crema_d_train_00000168_b0a897258201,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000168_b0a897258201.wav,crema_d,train,1003,sad,sad,Don't forget a jacket.,16000,3.2031875,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000168_b0a897258201.wav,16000,3.2031875,medium,True,train
crema_d_train_00000169_3efe3f9e2377,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000169_3efe3f9e2377.wav,crema_d,train,1003,anger,angry,It's eleven o'clock.,16000,2.56925,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000169_3efe3f9e2377.wav,16000,2.56925,medium,True,train
crema_d_train_00000170_ce37751b81aa,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000170_ce37751b81aa.wav,crema_d,train,1003,anger,angry,It's eleven o'clock.,16000,2.2755625,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000170_ce37751b81aa.wav,16000,2.2755625,medium,True,train
crema_d_train_00000171_8c16c3776c24,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000171_8c16c3776c24.wav,crema_d,train,1003,anger,angry,It's eleven o'clock.,16000,2.56925,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000171_8c16c3776c24.wav,16000,2.56925,medium,True,train
crema_d_train_00000178_71d8a83a3084,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000178_71d8a83a3084.wav,crema_d,train,1003,happy,happy,It's eleven o'clock.,16000,2.2021875,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000178_71d8a83a3084.wav,16000,2.2021875,medium,True,train
crema_d_train_00000179_70ad48faace5,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000179_70ad48faace5.wav,crema_d,train,1003,happy,happy,It's eleven o'clock.,16000,2.369,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000179_70ad48faace5.wav,16000,2.369,medium,True,train
crema_d_train_00000180_f0238d388746,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000180_f0238d388746.wav,crema_d,train,1003,happy,happy,It's eleven o'clock.,16000,2.3023125,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000180_f0238d388746.wav,16000,2.3023125,medium,True,train
crema_d_train_00000181_0774b5fa5ee8,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000181_0774b5fa5ee8.wav,crema_d,train,1003,neutral,neutral,It's eleven o'clock.,16000,2.2689375,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000181_0774b5fa5ee8.wav,16000,2.2689375,medium,True,train
crema_d_train_00000182_3c708ddaf707,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000182_3c708ddaf707.wav,crema_d,train,1003,sad,sad,It's eleven o'clock.,16000,2.469125,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000182_3c708ddaf707.wav,16000,2.469125,medium,True,train
crema_d_train_00000183_cc772a64560b,/home/mmr/emo_paper/ser_project/data/raw/crema_d/train/crema_d_train_00000183_cc772a64560b.wav,crema_d,train,1003,sad,sad,It's eleven o'clock.,16000,2.5025,/home/mmr/emo_paper/ser_project/data/processed/crema_d/train/crema_d_train_00000183_cc772a64560b.wav,16000,2.5025,medium,True,train
