sample_id,wav_path,dataset,original_split,speaker_id,emotion_raw,emotion,text,sampling_rate,duration_sec,processed_wav_path,processed_sampling_rate,processed_duration_sec,duration_bucket,is_valid_length,split
iemocap_train_00000000_31ac740f0c00,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000000_31ac740f0c00.wav,iemocap,train,Ses01F,neutral,neutral, Excuse me.,16000,1.9455625,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000000_31ac740f0c00.wav,16000,1.9455625,short,True,train
iemocap_train_00000001_a7a3e1836c2e,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000001_a7a3e1836c2e.wav,iemocap,train,Ses01F,neutral,neutral, Yeah.,16000,1.3824375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000001_a7a3e1836c2e.wav,16000,1.3824375,short,True,train
iemocap_train_00000002_592eb6ba2f6c,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000002_592eb6ba2f6c.wav,iemocap,train,Ses01F,neutral,neutral, Is there a problem?,16000,3.13025,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000002_592eb6ba2f6c.wav,16000,3.13025,medium,True,train
iemocap_train_00000003_dfdcdf961940,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000003_dfdcdf961940.wav,iemocap,train,Ses01F,neutral,neutral, You did.,16000,1.4975,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000003_dfdcdf961940.wav,16000,1.4975,short,True,train
iemocap_train_00000004_56d08c965528,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000004_56d08c965528.wav,iemocap,train,Ses01F,neutral,neutral, You were standing at the beginning and you directed me.,16000,3.41425,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000004_56d08c965528.wav,16000,3.41425,medium,True,train
iemocap_train_00000005_a6778d9d0b15,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000005_a6778d9d0b15.wav,iemocap,train,Ses01F,neutral,neutral, Well what's the problem?  Let me change it.,16000,4.0299375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000005_a6778d9d0b15.wav,16000,4.0299375,medium,True,train
iemocap_train_00000012_2829e0c129f2,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000012_2829e0c129f2.wav,iemocap,train,Ses01F,angry,angry, That's out of control.,16000,2.75,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000012_2829e0c129f2.wav,16000,2.75,medium,True,train
iemocap_train_00000014_cb591c78d00d,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000014_cb591c78d00d.wav,iemocap,train,Ses01F,neutral,neutral," Clearly.  You know, do you have like a supervisor or something?",16000,5.07,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000014_cb591c78d00d.wav,16000,5.07,long,True,train
iemocap_train_00000027_b9e82b769c2b,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000027_b9e82b769c2b.wav,iemocap,train,Ses01F,angry,angry, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,16000,7.2399375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000027_b9e82b769c2b.wav,16000,7.2399375,long,True,train
iemocap_train_00000029_3dc344ffd8ec,/home/mmr/emo_paper/ser_project/data/raw/iemocap/train/iemocap_train_00000029_3dc344ffd8ec.wav,iemocap,train,Ses01F,angry,angry, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,16000,6.0299375,/home/mmr/emo_paper/ser_project/data/processed/iemocap/train/iemocap_train_00000029_3dc344ffd8ec.wav,16000,6.0299375,long,True,train
